femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id
FM-5020-WA,5020,WA,FM,2012-09-20T00:00:00.000Z,2012,Fire,TABLE MOUNTAIN FIRE ,0,0,1,0,2012-09-19T00:00:00.000Z,2012-10-05T00:00:00.000Z,2015-01-13T00:00:00.000Z,0,53,37,99037,Kittitas (County),12095,,2012092001,10,,2024-08-27T18:22:14.800Z,ba2466488c08edbce7fa517054a5ffdb3764dffb,73e9176e-38b7-4a52-9cd0-de850404aef6
FM-5019-ID,5019,ID,FM,2012-09-18T00:00:00.000Z,2012,Fire,KARNEY FIRE,0,0,1,0,2012-09-18T00:00:00.000Z,2012-09-27T00:00:00.000Z,2015-06-15T00:00:00.000Z,0,16,15,99015,Boise (County),12096,,2012091802,10,,2024-08-27T18:22:14.800Z,8fa5711f1c2de96963c2e42384755817c2e56de9,f6dd4157-0c74-4da7-badd-5a6f8e6d9f8e
FM-5018-WA,5018,WA,FM,2012-09-13T00:00:00.000Z,2012,Fire,PEAVINE FIRE,0,0,1,0,2012-09-12T00:00:00.000Z,2012-10-09T00:00:00.000Z,2015-01-13T00:00:00.000Z,0,53,7,99007,Chelan (County),12093,,2012091302,10,,2024-08-27T18:22:14.800Z,37ae14ca431f27aa7b7e74652a4484f4a704d0d6,2cd0c93a-901a-4ff8-bd01-293e1d111790
FM-5017-WA,5017,WA,FM,2012-09-12T00:00:00.000Z,2012,Fire,POISON FIRE,0,0,1,0,2012-09-12T00:00:00.000Z,2012-09-30T00:00:00.000Z,2015-01-13T00:00:00.000Z,0,53,7,99007,Chelan (County),12092,,2012091301,10,,2024-08-27T18:22:14.800Z,c7b942993bf61a0897d4b19c1590ab46befb8d97,1f93ef4d-1fc0-4eba-9348-ac0e79e7591e
FM-5016-MT,5016,MT,FM,2012-09-11T00:00:00.000Z,2012,Fire,SAWTOOTH FIRE,0,0,1,0,2012-09-10T00:00:00.000Z,2012-09-16T00:00:00.000Z,2014-12-18T00:00:00.000Z,0,30,81,99081,Ravalli (County),12090,,2012091102,8,,2024-08-27T18:22:14.800Z,90d3012d9d4c18308e8c0319900c16f518c5ac28,3c7fb44c-97e8-4fc3-8fe7-2d4c1bb7601f
FM-5015-WA,5015,WA,FM,2012-09-10T00:00:00.000Z,2012,Fire,BYRD CANYON FIRE,0,0,1,0,2012-09-10T00:00:00.000Z,2012-09-18T00:00:00.000Z,2015-01-13T00:00:00.000Z,0,53,7,99007,Chelan (County),12088,,2012091101,10,,2024-08-27T18:22:14.800Z,a1aad77f47fc2b93e0071a37d88e71b457ce6556,e941f46a-4de7-44c5-852c-b49f518f313d
FM-5014-WY,5014,WY,FM,2012-09-09T00:00:00.000Z,2012,Fire,SHEEP HERDER HILL FIRE COMPLEX,0,0,1,0,2012-09-09T00:00:00.000Z,2012-09-16T00:00:00.000Z,2015-12-16T00:00:00.000Z,0,56,25,99025,Natrona (County),12085,,2012091001,8,,2024-08-27T18:22:14.800Z,cfda8c5e70598e9c8a55ef45c7464b4d236fb318,3a4b9368-70b9-4717-822f-0ade86530610
FM-5013-WA,5013,WA,FM,2012-09-09T00:00:00.000Z,2012,Fire,BARKER CANYON FIRE ,0,0,1,0,2012-09-09T00:00:00.000Z,2012-09-15T00:00:00.000Z,2014-12-04T00:00:00.000Z,0,53,17,99017,Douglas (County),12086,,2012091002,10,,2024-08-27T18:22:14.800Z,e3408ea96deeb6f7d316975afe209ad70766ec1d,74e79f5f-c872-4665-b2d5-db17cbd0c790
FM-5013-WA,5013,WA,FM,2012-09-09T00:00:00.000Z,2012,Fire,BARKER CANYON FIRE ,0,0,1,0,2012-09-09T00:00:00.000Z,2012-09-15T00:00:00.000Z,2014-12-04T00:00:00.000Z,0,53,25,99025,Grant (County),12086,,2012091002,10,,2024-08-27T18:22:14.800Z,8f9a320e9af572b717e63c3c1ee9f53aeccf231c,44d67a18-83c5-4216-b2cc-892f7e6ebd92
FM-5012-WA,5012,WA,FM,2012-09-09T00:00:00.000Z,2012,Fire,1ST CANYON FIRE,0,0,1,0,2012-09-09T00:00:00.000Z,2012-09-18T00:00:00.000Z,2014-12-04T00:00:00.000Z,0,53,7,99007,Chelan (County),12087,,2012091003,10,,2024-08-27T18:22:14.800Z,d4c8e41ceea3c1d13a00414fa1b79d4bbdf4f94b,50dd03cf-3bbc-4cd3-8fd5-99b297d732f0
